이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8801056228255_002.jpg,롯데)핫식스더킹제로355ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056234423_001.JPG,롯데)핫식스더킹크러쉬피치355ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056098834_004.jpg,롯데)핫식스더킹파워355ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056171032_002.jpg,롯데)핫식스더킹포스355ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056002725_731.jpg,롯데)2%부족할때(복숭아)500ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056086657_003.jpg,롯데)2%아쿠아제로500ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056177553_005.jpg,롯데)칠성사이다제로1.5L,"3,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056177645_004.jpg,롯데)칠성사이다제로캔355ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056040925_005.jpg,롯데)칠성사이다캔355ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392082276_001.jpg,CJ)행복한콩유기농두부부침용300,"3,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392082290_002.jpg,CJ)행복한콩유기농두부찌개용300,"3,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007034287_289.jpg,CJ)국산콩부침두부380G,"5,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007009322_324.jpg,CJ)국산콩찌개두부380G,"5,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8850157408738_002.jpg,흥선)벤토바베큐7G,"1,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8850157408721_003.jpg,흥선)벤토불징어7G,"1,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8850157408745_003.jpg,흥선)벤토오징어치킨7G,"1,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801039008713_002.jpg,사조)빠삭어묵칩40G(매콤한맛),"5,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801039008706_002.jpg,사조)빠삭어묵칩40G(오리지널),"5,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809288635483_001.jpg,DD)샤인앤라임녹차아이스티제로,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809288635476_001.jpg,DD)화이트피치홍차아이스티제로,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806011416272_001.jpg,동아)모닝케어프레스온G,"6,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806011416265_001.jpg,동아)모닝케어프레스온H,"6,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809799270203_003.jpg,링티)제로레몬라임500ML,"2,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809626920295_004.jpg,링티)제로복숭아맛500ML,"2,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809695254550_002.jpg,팔도)코코뿌요복숭아280ML,"1,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809695254567_002.jpg,팔도)코코뿌요애플망고280ML,"1,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809288634967_001.jpg,BR)레인보우샤베트과즙워터500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809288635315_003.jpg,BR)망고탱고과즙워터500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809288634974_001.jpg,BR)피치요거트과즙워터500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809286693393_002.jpg,유어스(P)할리스복숭아얼그레이,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809286693409_002.jpg,유어스(P)할리스제주청귤그린티,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422045116_001.jpg,HK)티로그스파클링골드애플355ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422045109_001.jpg,HK)티로그스파클링납작복숭아355,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422044447_001.jpg,HK)납작복숭아아이스티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422044430_001.jpg,HK)제주청귤아이스티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422041125_004.jpg,HK)새싹차보리500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422041729_004.jpg,HK)헛개수EX500ML,"3,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104944915_001.jpg,빙그레)아카페라벤티아메리카노,"3,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104944939_001.jpg,빙그레)아카페라벤티헤이즐넛600,"3,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104944878_001.jpg,유어스)아이스티유자민트티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104944892_001.jpg,유어스)아이스티자몽허니블랙티,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104669658_001.jpg,빙그레)아카페라아메리카노1L,"4,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104669672_001.jpg,빙그레)아카페라헤이즐넛1L,"4,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104947961_002.jpg,유어스)커피빈디카페인아메리카,"2,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801104941174_002.jpg,유어스)커피빈아메리카노400ML,"2,700",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809403538248_001.jpg,슈가로로)스파클링복숭아350,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809403539085_001.jpg,슈가로로)코코제로리치340ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809403539092_001.jpg,슈가로로)코코제로포도340ML,"2,500",1+1,1+1 행사
