이미지URL,상품명,가격,행사유형,행사분류,증정상품이미지URL
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007054186.JPG,CJ)큰햇반300g(30),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007310572.JPG,CJ)햇반210g(48),2100,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007915340.JPG,CJ)햇반흑미밥130g,2100,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007915364.JPG,CJ)햇반발아현미밥130g,2100,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801085883210.JPG,한일)본고장매운김치우동(큰컵),3700,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392095580.JPG,CJ)환경을생각한햇반210G,1600,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778492541.JPG,하림)더미식비빔면봉지,1700,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778492558.JPG,하림)더미식비빔면4입,6800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493005.JPG,하림)더미식메밀비빔면봉지,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493012.JPG,하림)더미식메밀비빔면4입,7200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493173.JPG,하림)더미식보리쌀밥180g,2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493449.JPG,하림)더미식시래기된장국350g,4500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493494.JPG,하림)더미식백미밥180g,1900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493708.JPG,하림)푸디버디짜장면(큰컵),2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493937.JPG,하림)푸디버디소고기미역국180g,4400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778493951.JPG,하림)푸디버디소고기뭇국180g,4400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778494606.JPG,하림)더미식황태콩나물국350g,4500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495108.JPG,하림)더미식소고기뭇국350g,5500,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495153.JPG,하림)더미식매움주의장인라면*2입,5800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495184.JPG,하림)더미식소고기장터국350g,6500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495306.JPG,하림)더미식비빔면큰컵130g,2400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495450.JPG,하림)용가리불비빔면큰컵125g,2200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778495733.JPG,하림)삼계탕면큰컵107g,2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496075.JPG,하림)장인라면맵싸한맛큰컵126g,2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496228.JPG,하림)용가리불볶음면큰컵114g,2200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496419.JPG,하림)더미식오징어라면130g,1980,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496426.JPG,하림)더미식오징어라면130G*4봉,7920,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496433.JPG,하림)마라쌀볶음면큰컵119g,2400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778496488.JPG,하림)더미식오징어라면큰컵127g,2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778497430.JPG,하림)백제면118g,1080,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809778497447.JPG,하림)백제면118g*4개,4320,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8003508001496.JPG,그린카스텔베트라노올리브300g,4500,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801005381819.JPG,샘표)우리엄마고추장고기볶음95g(new),3400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801005961240.JPG,폰타나)그릴드머쉬룸크림스프180g,3800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801005961370.JPG,폰타나)스위트콘크림수프180g,3800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801005961707.JPG,폰타나)로스티드비프크림수프180g,3800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801063310011.JPG,유동)번데기130g,2000,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801063310998.JPG,유동)골빔면골뱅이95g,3900,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801073116221.JPG,삼양)맵탱흑후추소고기라면봉지,1500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801073116269.JPG,삼양)맵탱마늘조개라면봉지,1500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801073116290.JPG,삼양)맵탱청양고추대파라면봉지,1500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801073116856.JPG,삼양)맵탱김치비빔면봉지,1400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801073216181.JPG,삼양)맵탱흑후추소고기라면큰컵,1800,2+1,,
